"['c', 'c', 'a', 'e', 'f']",0
"['e', 'c', 'c', 'b', 'f']",1
"['d', 'b', 'f', 'e', 'c']",1
"['e', 'e', 'c', 'b', 'f']",1
"['c', 'f', 'e', 'b', 'c']",1
"['e', 'c', 'b', 'c', 'e']",1
"['d', 'b', 'f', 'c', 'c']",1
"['d', 'f', 'a', 'e', 'f']",0
"['a', 'c', 'e', 'e', 'e']",0
"['c', 'c', 'e', 'e', 'a']",0
"['f', 'e', 'b', 'e', 'd']",1
"['e', 'f', 'd', 'f', 'a']",0
"['f', 'd', 'e', 'e', 'a']",0
"['b', 'c', 'c', 'c', 'e']",1
"['f', 'd', 'b', 'd', 'c']",1
"['c', 'd', 'd', 'b', 'e']",1
"['f', 'f', 'f', 'e', 'a']",0
"['e', 'f', 'a', 'c', 'd']",0
"['e', 'e', 'a', 'f', 'd']",0
"['c', 'a', 'e', 'd', 'd']",0
"['e', 'b', 'd', 'c', 'f']",1
"['c', 'e', 'f', 'a', 'e']",0
"['f', 'f', 'f', 'c', 'b']",1
"['e', 'b', 'c', 'f', 'e']",1
"['a', 'e', 'c', 'd', 'f']",0
"['e', 'e', 'c', 'd', 'b']",1
"['b', 'f', 'd', 'e', 'c']",1
"['d', 'e', 'e', 'f', 'a']",0
"['a', 'c', 'c', 'd', 'f']",0
"['a', 'c', 'e', 'e', 'f']",0
"['e', 'd', 'b', 'e', 'd']",1
"['e', 'c', 'f', 'b', 'e']",1
"['e', 'd', 'f', 'a', 'e']",0
"['c', 'f', 'b', 'c', 'c']",1
"['b', 'f', 'd', 'c', 'c']",1
"['c', 'c', 'f', 'b', 'd']",1
"['c', 'f', 'c', 'e', 'a']",0
"['e', 'e', 'e', 'f', 'b']",1
"['c', 'c', 'a', 'f', 'f']",0
"['c', 'b', 'e', 'e', 'd']",1
"['f', 'c', 'b', 'd', 'd']",1
"['f', 'c', 'a', 'c', 'e']",0
"['d', 'd', 'e', 'b', 'd']",1
"['e', 'e', 'f', 'f', 'a']",0
"['c', 'c', 'b', 'e', 'f']",1
"['c', 'f', 'd', 'c', 'a']",0
"['e', 'a', 'f', 'e', 'f']",0
"['f', 'f', 'a', 'f', 'f']",0
"['f', 'b', 'c', 'd', 'c']",1
"['d', 'e', 'a', 'e', 'c']",0
"['c', 'b', 'f', 'c', 'f']",1
"['c', 'b', 'c', 'f', 'e']",1
"['d', 'e', 'e', 'a', 'f']",0
"['c', 'a', 'f', 'd', 'c']",0
"['f', 'e', 'f', 'a', 'd']",0
"['b', 'd', 'd', 'f', 'e']",1
"['e', 'b', 'd', 'c', 'f']",1
"['c', 'e', 'a', 'd', 'd']",0
"['f', 'b', 'd', 'c', 'c']",1
"['c', 'e', 'd', 'd', 'a']",0
"['f', 'c', 'd', 'd', 'b']",1
"['d', 'a', 'f', 'e', 'c']",0
"['c', 'e', 'b', 'e', 'd']",1
"['d', 'b', 'c', 'c', 'c']",1
"['c', 'a', 'c', 'f', 'd']",0
"['b', 'd', 'f', 'd', 'e']",1
"['c', 'f', 'e', 'd', 'a']",0
"['f', 'e', 'a', 'f', 'c']",0
"['f', 'e', 'd', 'd', 'a']",0
"['c', 'd', 'b', 'e', 'f']",1
"['f', 'e', 'c', 'd', 'a']",0
"['a', 'c', 'd', 'd', 'c']",0
"['f', 'c', 'a', 'c', 'c']",0
"['d', 'b', 'e', 'e', 'e']",1
"['f', 'a', 'e', 'd', 'd']",0
"['b', 'c', 'f', 'e', 'e']",1
"['c', 'd', 'c', 'a', 'c']",0
"['f', 'f', 'e', 'f', 'b']",1
"['a', 'c', 'd', 'f', 'd']",0
"['b', 'f', 'e', 'e', 'd']",1
"['a', 'e', 'f', 'd', 'f']",0
"['d', 'c', 'd', 'd', 'a']",0
"['c', 'e', 'a', 'f', 'd']",0
"['c', 'd', 'a', 'd', 'f']",0
"['e', 'd', 'b', 'c', 'd']",1
"['f', 'c', 'b', 'e', 'c']",1
"['b', 'e', 'e', 'f', 'e']",1
"['b', 'd', 'c', 'c', 'd']",1
"['c', 'd', 'b', 'd', 'd']",1
"['d', 'd', 'e', 'e', 'b']",1
"['f', 'f', 'e', 'b', 'e']",1
"['d', 'c', 'c', 'a', 'c']",0
"['f', 'a', 'f', 'e', 'c']",0
"['b', 'e', 'e', 'f', 'c']",1
"['c', 'b', 'c', 'd', 'f']",1
"['b', 'd', 'c', 'c', 'f']",1
"['a', 'e', 'c', 'e', 'c']",0
"['f', 'f', 'e', 'd', 'b']",1
"['e', 'f', 'a', 'e', 'f']",0
"['c', 'd', 'c', 'b', 'f']",1
